Team,Name
Spain, LOPEZ Vicky
Spain, MENDEZ Maria
Spain, REDONDO Alba
Spain, LETE Elene
,
USA, NAEHER Alyssa
USA, FOX Emily
USA, ALBERT Korbin
USA, GIRMA Naomi
USA, RODMAN Trinity
USA, KRUEGER Casey
USA, DUNN Crystal
USA, WILLIAMS Lynn
USA, SWANSON Mallory
USA, HORAN Lindsey
USA, SMITH Sophia
USA, DAVIDSON Tierna
USA, NIGHSWONGER Jenna
USA, SONNETT Emily
USA, SHAW Jaedyn
USA, LAVELLE Rose
USA, COFFEY Samantha
USA, MURPHY Casey
USA, HERSHFELT Hal
USA, BETHUNE Croix
USA, SAMS Emily
USA, CAMPBELL Jane
,
Zambia, MUSONDA Catherine
Zambia, BANDA Diana
Zambia, MWEEMBA Lushomo
Zambia, SIAMFUKO Esther
Zambia, ZULU Pauline
Zambia, CHILESHE Rhoda
Zambia, ZULU Misozi
Zambia, LUBANDJI Ochumba
Zambia, MUPOPO Kabange
Zambia, CHANDA Grace
Zambia, BANDA Barbra
Zambia, CHITUNDU Avell
Zambia, TEMBO Martha
Zambia, CHILUFYA Prisca
Zambia, CHANDA Hellen
Zambia, MUCHINGA Esther
Zambia, KUNDANANJI Racheal
Zambia, MUSOLE Ngambo
Zambia, PHIRI Vast
Zambia, NACHULA Racheal
Zambia, WILOMBE Mary
Zambia, SAKALA Eunice
